Name;Age;Nationality;CC;Overall;Value (EUR);Wage per week (EUR);Preferred Foot;Position;Field
L. Messi;31;Argentina;ARG;94;110500000;565000;Left;RF;Attack
Cristiano Ronaldo;33;Portugal;PRT;94;77000000;405000;Right;ST;Attack
Neymar Jr;26;Brazil;BRA;92;118500000;290000;Right;LW;Attack
L. Suárez;31;Uruguay;URY;91;80000000;455000;Right;RS;Attack
L. Modrić;32;Croatia;HRV;91;67000000;420000;Right;RCM;Midfield
Sergio Ramos;32;Spain;ESP;91;51000000;380000;Right;RCB;Defense
K. De Bruyne;27;Belgium;BEL;91;102000000;355000;Right;RCM;Midfield
E. Hazard;27;Belgium;BEL;91;93000000;340000;Right;LF;Attack
De Gea;27;Spain;ESP;91;72000000;260000;Right;GK;Defense
T. Kroos;28;Germany;DEU;90;76500000;355000;Right;LCM;Midfield
David Silva;32;Spain;ESP;90;60000000;285000;Left;LCM;Midfield
R. Lewandowski;29;Poland;POL;90;77000000;205000;Right;ST;Attack
D. Godín;32;Uruguay;URY;90;44000000;125000;Right;CB;Defense
J. Oblak;25;Slovenia;SVN;90;68000000;94000;Right;GK;Defense
Sergio Busquets;29;Spain;ESP;89;51500000;315000;Right;CDM;Midfield
S. Agüero;30;Argentina;ARG;89;64500000;300000;Right;ST;Attack
M. ter Stegen;26;Germany;DEU;89;58000000;240000;Right;GK;Defense
T. Courtois;26;Belgium;BEL;89;53500000;240000;Left;GK;Defense
N. Kanté;27;France;FRA;89;63000000;225000;Right;LDM;Midfield
G. Chiellini;33;Italy;ITA;89;27000000;215000;Left;LCB;Defense
P. Dybala;24;Argentina;ARG;89;89000000;205000;Left;LF;Attack
H. Kane;24;England;GBR;89;83500000;205000;Right;ST;Attack
E. Cavani;31;Uruguay;URY;89;60000000;200000;Right;LS;Attack
A. Griezmann;27;France;FRA;89;78000000;145000;Left;CAM;Midfield
M. Neuer;32;Germany;DEU;89;38000000;130000;Right;GK;Defense
G. Bale;28;Wales;GBR;88;60000000;355000;Left;ST;Attack
Coutinho;26;Brazil;BRA;88;69500000;340000;Right;LW;Attack
Isco;26;Spain;ESP;88;73500000;315000;Right;LW;Attack
J. Rodríguez;26;Colombia;COL;88;69500000;315000;Left;LAM;Midfield
Casemiro;26;Brazil;BRA;88;59500000;285000;Right;CDM;Midfield
Marcelo;30;Brazil;BRA;88;43000000;285000;Left;LB;Defense
P. Aubameyang;29;Gabon;GAB;88;59000000;265000;Right;LM;Midfield
M. Salah;26;Egypt;EGY;88;69500000;255000;Left;RM;Midfield
G. Higuaín;30;Argentina;ARG;88;57000000;245000;Right;LS;Attack
C. Eriksen;26;Denmark;DNK;88;73500000;205000;Right;CAM;Midfield
L. Insigne;27;Italy;ITA;88;62000000;165000;Right;LW;Attack
Thiago Silva;33;Brazil;BRA;88;24000000;165000;Right;RCB;Defense
M. Hummels;29;Germany;DEU;88;46000000;160000;Right;LCB;Defense
H. Lloris;31;France;FRA;88;36000000;150000;Left;GK;Defense
S. Handanovič;33;Slovenia;SVN;88;30000000;110000;Right;GK;Defense
K. Mbappé;19;France;FRA;88;81000000;100000;Right;RM;Midfield
G. Buffon;40;Italy;ITA;88;4000000;77000;Right;GK;Defense
I. Rakitić;30;Croatia;HRV;87;46500000;260000;Right;RCM;Midfield
Jordi Alba;29;Spain;ESP;87;38000000;250000;Left;LB;Defense
Piqué;31;Spain;ESP;87;34000000;240000;Right;RCB;Defense
R. Lukaku;25;Belgium;BEL;87;62500000;230000;Left;ST;Attack
P. Pogba;25;France;FRA;87;64000000;210000;Right;RDM;Midfield
S. Umtiti;24;France;FRA;87;57000000;205000;Left;CB;Defense
K. Navas;31;Costa Rica;CRI;87;30500000;195000;Right;GK;Defense
J. Vertonghen;31;Belgium;BEL;87;34000000;155000;Left;LCB;Defense
D. Mertens;31;Belgium;BEL;87;45000000;135000;Right;RF;Attack
M. Icardi;25;Argentina;ARG;87;64500000;130000;Right;ST;Attack
M. Hamšík;30;Slovakia;SVK;87;46500000;125000;Right;LCM;Midfield
C. Immobile;28;Italy;ITA;87;52000000;115000;Right;ST;Attack
K. Koulibaly;27;Senegal;SEN;87;51000000;115000;Right;LCB;Defense
R. Varane;25;France;FRA;86;50000000;210000;Right;RCB;Defense
L. Sané;22;Germany;DEU;86;61000000;195000;Left;LW;Attack
R. Sterling;23;England;GBR;86;56500000;195000;Right;RW;Attack
Roberto Firmino;26;Brazil;BRA;86;53000000;195000;Right;CAM;Midfield
S. Mané;26;Senegal;SEN;86;52000000;195000;Right;LM;Midfield
M. Özil;29;Germany;DEU;86;43500000;190000;Left;CAM;Midfield
Fernandinho;33;Brazil;BRA;86;18000000;185000;Right;CDM;Midfield
Bernardo Silva;23;Portugal;PRT;86;59500000;180000;Left;RW;Attack
M. Pjanić;28;Bosnia Herzegovina;MKD;86;44000000;180000;Right;CDM;Midfield
Douglas Costa;27;Brazil;BRA;86;46500000;175000;Left;LM;Midfield
Azpilicueta;28;Spain;ESP;86;35000000;175000;Right;RB;Defense
V. van Dijk;26;Netherlands;NLD;86;44500000;165000;Right;LCB;Defense
Alex Sandro;27;Brazil;BRA;86;36500000;160000;Left;LB;Defense
